"job_role","industry","country","year","automation_risk_percent","ai_replacement_score","skill_gap_index","salary_before_usd","salary_change_percent","skill_demand_growth_percent","remote_feasibility_score","ai_adoption_level","education_requirement_level","reskilling_urgency_score","year_category","risk_bracket"
"Teacher","Education","Australia",2020,52.33,51.9,56.9,102212.36,6.22,25.08,20.01,36.45,"4",39.868,"Past","Medium Risk"
"Financial Analyst","Retail","Singapore",2026,22.51,20.99,95.13,111998.26,2.01,4.88,76.02,51.79,"5",38.146,"Future","Low Risk"
"Mechanical Engineer","Technology","Australia",2026,66.33,71.76,24.38,93630.99,-18.14,25.83,26.13,22.34,"4",39.288,"Future","Medium Risk"
"HR Manager","Retail","Germany",2020,29.67,23.86,91.69,112331.52,6.77,22.74,72.04,98.19,"2",41.406,"Past","Low Risk"
"HR Manager","Finance","Brazil",2026,36.96,40.1,35.95,132514.66,-1.38,-5.94,54.59,25.59,"5",25.983,"Future","Medium Risk"
"Data Analyst","Finance","Japan",2024,50.64,45.98,85.39,51319.12,13.68,-9.85,64.48,7.8,"4",49.977,"Present","Medium Risk"
"Accountant","Technology","Germany",2024,69.24,71.95,86.99,134116.27,8.67,5.97,86.36,95.81,"3",56.394,"Present","High Risk"
"Marketing Specialist","Manufacturing","Canada",2026,69.53,78.47,46.94,55443.73,2.48,9.59,35.36,34.1,"1",42.638,"Future","High Risk"
"Data Analyst","Education","Germany",2023,48.03,47.6,8.15,46973.75,-8.19,16.74,55.69,76.66,"3",24.114,"Present","Medium Risk"
"Data Analyst","Education","Canada",2023,52.58,45.58,9.84,100938.28,-6.59,9.54,43.48,87.03,"1",25.961,"Present","Medium Risk"
"Mechanical Engineer","Education","Germany",2020,76.1,74.7,7.95,60923.57,-7.55,-2.73,54.45,58.32,"2",35.09,"Past","High Risk"
"Accountant","Education","Germany",2026,18.58,21.47,62,101670.21,-1.84,8.68,31.61,51.65,"4",26.584,"Future","Low Risk"
"Truck Driver","Finance","Germany",2026,60.6,53.97,69.97,33556.06,-4.25,23.92,72.01,47.71,"4",46.506,"Future","Medium Risk"
"Truck Driver","Education","USA",2020,93.41,87.24,98.26,37796.87,-4.76,24.12,83.99,78.96,"5",68.27,"Past","High Risk"
"HR Manager","Healthcare","India",2022,66.01,55.31,82.24,55684.82,16.93,3.55,29.68,11.3,"1",56.155,"Past","Medium Risk"
"Software Engineer","Education","UK",2023,45.22,53.97,60.09,112926.88,14.48,8.14,97.82,54.41,"4",40.459,"Present","Medium Risk"
"Marketing Specialist","Finance","Brazil",2023,39.18,44.82,96.97,45501.8,13.69,8.66,58,40.92,"5",48.87,"Present","Medium Risk"
"Software Engineer","Healthcare","Japan",2020,45.87,41.65,34.91,149073.2,9.02,8.3,82.7,65.23,"3",31.527,"Past","Medium Risk"
"Mechanical Engineer","Healthcare","Germany",2026,68.85,62.99,63.71,100872.42,-11.06,9.09,34.95,28.67,"5",49.971,"Future","High Risk"
"Financial Analyst","Education","Singapore",2021,52.14,61.99,95.41,57262.75,11.45,1.54,92.42,23.65,"2",52.914,"Past","Medium Risk"
"Mechanical Engineer","Transportation","Singapore",2020,28.61,25.41,35.01,126571.13,11.82,11.07,62.47,25.77,"3",25.493,"Past","Low Risk"
"Marketing Specialist","Transportation","Japan",2024,25.96,20.86,78.1,131654.55,-1.42,-4.4,52.85,81.61,"4",34.24,"Present","Low Risk"
"HR Manager","Retail","UK",2021,57.57,49.58,22.61,64281.02,-3.75,-1.65,75.57,24.14,"4",30.936,"Past","Medium Risk"
"Mechanical Engineer","Education","Canada",2024,68.48,67.64,32.29,79490.17,1.49,23.56,10.66,92.23,"3",37.526,"Present","High Risk"
"Marketing Specialist","Transportation","Australia",2026,14.62,17.18,2.82,122517.52,5.31,37.15,16.55,23.87,"3",8.287,"Future","Low Risk"
"Marketing Specialist","Retail","UK",2024,64.43,74.51,52.91,72401.21,1.69,0.93,35.06,5.5,"2",42.152,"Present","Medium Risk"
"HR Manager","Finance","India",2026,56.61,56.29,1.2,43310.88,-3.71,6.69,87.94,31.13,"4",24.117,"Future","Medium Risk"
"Mechanical Engineer","Technology","UK",2026,16.21,17.89,52.44,66796.8,-3.1,4.39,69.64,36.58,"1",23.146,"Future","Low Risk"
"Software Engineer","Technology","UK",2026,49.98,52.55,65.13,125147.13,-11.42,23.43,45.09,11.96,"3",42.957,"Future","Medium Risk"
"Mechanical Engineer","Manufacturing","Germany",2020,64.56,71.3,24.63,133521.83,-6.07,30.35,11.57,38.27,"2",35.034,"Past","Medium Risk"
"Accountant","Finance","Australia",2026,54.85,45.85,45.96,149212.31,3.82,22.64,57.97,4.38,"3",36.874,"Future","Medium Risk"
"Data Analyst","Manufacturing","USA",2022,67.01,78.49,68.24,41881.4,-5.68,-0.25,56.76,20.78,"3",48.98,"Past","High Risk"
"Truck Driver","Technology","Brazil",2021,73.71,75.04,1.77,119286.87,4.7,0.5,41.95,33.86,"4",31.425,"Past","High Risk"
"Financial Analyst","Healthcare","India",2022,10.83,12.94,61.2,80727.62,2.88,-0.83,35.45,98.83,"3",23.556,"Past","Low Risk"
"HR Manager","Transportation","Singapore",2024,76.54,83.74,97.11,42676.06,-9.6,-3.56,16.48,97.22,"5",62.629,"Present","High Risk"
"Truck Driver","Healthcare","Japan",2026,29.2,33.36,76.82,75104.05,-0.3,-9.47,51.21,58.53,"2",34.816,"Future","Low Risk"
"Teacher","Energy","Japan",2025,64.04,60.9,16.04,126005.87,-12.31,-4.67,78.79,93.41,"3",34.121,"Future","Medium Risk"
"Teacher","Healthcare","USA",2021,74.05,63.31,50.32,41144.43,1.91,3.51,97.11,69.76,"3",45.289,"Past","High Risk"
"Financial Analyst","Healthcare","Australia",2022,18.47,18.37,81.66,98697.26,-1.63,3.18,87.77,52.7,"2",32.375,"Past","Low Risk"
"Data Analyst","Manufacturing","UK",2025,49.41,46.9,53.25,147252.38,12.13,-6.82,25.53,12.17,"5",39.378,"Future","Medium Risk"
"Data Analyst","Healthcare","Germany",2026,54.85,62.41,66.83,48983.5,2.83,3.21,35.98,81.89,"1",42.838,"Future","Medium Risk"
"Accountant","Manufacturing","UK",2026,30.02,35.29,91.45,35191.58,-6.15,10.03,29.37,45.98,"1",41.288,"Future","Low Risk"
"HR Manager","Finance","USA",2023,50.34,46.83,57.54,50479,0.55,1.31,56.57,68.97,"1",37.563,"Present","Medium Risk"
"Data Analyst","Manufacturing","Singapore",2022,45.49,52.72,45.95,31004.34,14.59,15.88,56.93,68.93,"4",36.358,"Past","Medium Risk"
"Accountant","Manufacturing","Brazil",2023,32.65,28.06,66.46,59422.37,-5.86,-25.55,52.95,59.84,"3",34.756,"Present","Low Risk"
"Software Engineer","Healthcare","Japan",2023,5,5.98,71.63,81046.53,-12.08,16.37,30.65,38,"5",27.113,"Present","Low Risk"
"Data Analyst","Energy","UK",2026,41.5,44.36,64.52,133591.87,5.99,-7.32,19.1,54.79,"2",37.753,"Future","Medium Risk"
"Mechanical Engineer","Energy","Japan",2022,50.88,45.1,39.17,129263.15,-2.12,-6.38,93.95,50.41,"3",32.739,"Past","Medium Risk"
"Mechanical Engineer","Retail","Japan",2021,60.76,68.7,20.38,56186.07,7.95,13.12,15.42,32.25,"4",32.803,"Past","Medium Risk"
"Accountant","Technology","Australia",2021,37.9,42.89,42.19,141111.47,-10.48,21.12,16.03,57.31,"5",30.961,"Past","Medium Risk"
"Data Analyst","Energy","Singapore",2025,25.32,23.81,68.77,85636.72,-5.85,19.47,23.58,46.13,"5",32.514,"Future","Low Risk"
"Customer Support Rep","Finance","Singapore",2020,91.57,102.62,20.57,76956.06,-8.56,-3.86,61.38,41.07,"5",45.367,"Past","High Risk"
"Accountant","Energy","India",2025,15.59,16.4,9.91,102769.79,-26.71,34.57,16.07,63.92,"4",17.222,"Future","Low Risk"
"Accountant","Finance","Japan",2025,40.19,38.76,59.65,102749.77,7.53,-6.15,61.91,75.76,"2",36.23,"Future","Medium Risk"
"Customer Support Rep","Energy","Germany",2024,76.84,87.7,37.68,71407.66,-5.1,11.44,51.51,19.43,"5",43.57,"Present","High Risk"
"Accountant","Technology","Australia",2021,73.97,71.24,21.25,113041.61,14.47,-6.63,41.07,80.72,"2",40.304,"Past","High Risk"
"Accountant","Manufacturing","Singapore",2021,72.78,81.17,84.85,42225.7,1.98,11.74,88.23,68.44,"1",55.161,"Past","High Risk"
"Teacher","Education","India",2025,24.13,25.19,9.09,113486.76,-11.09,2.1,98.13,90.11,"3",15.706,"Future","Low Risk"
"Customer Support Rep","Healthcare","Germany",2021,87.55,97.66,69.2,108609.54,3.36,10.17,93.46,55.31,"3",56.788,"Past","High Risk"
"Mechanical Engineer","Manufacturing","Brazil",2021,41.33,49.07,46.41,106958.93,14.54,-8.54,74.81,62.47,"3",34.817,"Past","Medium Risk"
"Financial Analyst","Retail","Canada",2023,46.02,42.34,64.38,139011.47,3.78,6.36,62.45,46.17,"1",38.856,"Present","Medium Risk"
"Truck Driver","Energy","Japan",2021,80.46,69.55,38.13,85952.91,-9.25,-9.48,17.03,19.8,"2",46.398,"Past","High Risk"
"Teacher","Retail","Germany",2020,33.48,37.45,18.25,71596.84,0.94,-2.16,65.01,86.55,"5",19.149,"Past","Medium Risk"
"Mechanical Engineer","Retail","Canada",2024,67.34,61.56,13.7,48729.98,0.08,5.21,13.83,13.68,"4",31.07,"Present","High Risk"
"Marketing Specialist","Finance","UK",2023,44.01,38.86,80.37,98786.05,-7.52,27.78,33.05,58.94,"5",43.971,"Present","Medium Risk"
"Marketing Specialist","Energy","USA",2021,60.19,57.08,50.49,130762.08,1.5,-6.65,41.36,70.28,"5",39.673,"Past","Medium Risk"
"Accountant","Energy","India",2021,11.32,12.09,10.29,37772.13,8.45,18.52,90.54,51.97,"1",10.15,"Past","Low Risk"
"Mechanical Engineer","Manufacturing","Japan",2026,47.1,51,32.34,34429.49,-7.43,-2.66,40.21,94.35,"5",30.771,"Future","Medium Risk"
"Truck Driver","Finance","Germany",2023,81.34,95.52,99.86,82053.48,3.28,-9.9,89.3,46.57,"3",63.478,"Present","High Risk"
"Accountant","Manufacturing","UK",2021,45.38,38.74,42.05,76439.38,8.08,1.91,15.34,97.21,"1",33.191,"Past","Medium Risk"
"Data Analyst","Healthcare","Australia",2023,5,5.89,54.8,114293.43,5.31,-5.76,89.38,13.95,"1",20.033,"Present","Low Risk"
"Financial Analyst","Manufacturing","UK",2020,18.9,17.41,16.17,43277.5,-10.65,11.64,70.03,86.19,"1",15.606,"Past","Low Risk"
"HR Manager","Energy","Japan",2024,55.64,47.17,57.36,77235.44,-12.98,-6.2,93.65,74.25,"5",43.358,"Present","Medium Risk"
"Financial Analyst","Energy","Australia",2025,19.37,19.18,31.82,147352.6,11.33,-11.86,53.14,21.31,"2",20.693,"Future","Low Risk"
"Mechanical Engineer","Education","UK",2021,56.23,52.5,65.37,76041.78,10.35,17.35,55.79,70.47,"5",45.208,"Past","Medium Risk"
"Teacher","Technology","USA",2021,42.27,35.78,18.21,59519.18,1.51,1.88,43.07,9.35,"1",22.824,"Past","Medium Risk"
"HR Manager","Retail","Germany",2023,67.4,72.35,45.22,59691.04,-1.41,-6.83,89.67,18.84,"1",40.949,"Present","High Risk"
"Marketing Specialist","Education","India",2023,49.81,59,63.71,82795.77,8.29,10.53,63.15,87.18,"1",41.524,"Present","Medium Risk"
"Mechanical Engineer","Healthcare","Germany",2026,46.02,52.1,95.2,90149.22,15.76,20.12,80.33,82.3,"5",51.696,"Future","Medium Risk"
"Data Analyst","Technology","UK",2025,5,5.47,78.38,114051.53,12.99,2.63,94.06,22.95,"5",29.411,"Future","Low Risk"
"Accountant","Education","USA",2020,50.54,56.7,75.24,104266.81,7.47,14.16,78.92,43.09,"3",45.029,"Past","Medium Risk"
"Customer Support Rep","Energy","Canada",2025,94.56,104.81,57.87,142102.95,11.01,30.88,39.58,25.09,"5",58.488,"Future","High Risk"
"Customer Support Rep","Technology","Germany",2020,60.87,62.76,24.45,140712.15,12.08,31.11,49.21,5.81,"5",35.307,"Past","Medium Risk"
"Teacher","Energy","India",2021,71.77,66.51,64.25,102892.03,7.67,30.19,26.33,28.06,"5",50.284,"Past","High Risk"
"Truck Driver","Finance","India",2021,61.69,68.83,43.2,54470.71,2.56,-1.46,48.1,12.54,"4",38.404,"Past","Medium Risk"
"Software Engineer","Healthcare","UK",2020,47.21,41.69,50.9,66742.56,5.2,4.09,38.69,64.46,"2",35.714,"Past","Medium Risk"
"Accountant","Finance","Japan",2023,32.17,27.16,62.75,139923.78,21.43,-3.06,64.8,41.51,"4",38.122,"Present","Low Risk"
"Accountant","Technology","India",2024,53.04,47.94,37.8,83078.26,-3.75,13.99,67.16,21.34,"1",33.681,"Present","Medium Risk"
"Data Analyst","Finance","Singapore",2023,17.68,18.73,76.23,85454.06,6.51,2.39,22.22,72.07,"1",31.894,"Present","Low Risk"
"Accountant","Healthcare","USA",2020,58.31,62.75,93.54,117382.84,-9.99,-8.52,45.2,3.08,"5",54.383,"Past","Medium Risk"
"Software Engineer","Energy","UK",2025,63.95,53.04,69.98,117619.32,1.85,16.91,75.27,30.27,"3",47.129,"Future","Medium Risk"
"Financial Analyst","Energy","Germany",2021,62.19,58.3,90.28,49605.82,-0.13,-14.98,79.83,74.88,"5",51.999,"Past","Medium Risk"
"Customer Support Rep","Technology","Canada",2024,39.75,34.09,30.4,88050.5,-23.65,18.02,69.68,42.76,"2",32.115,"Present","Medium Risk"
"Teacher","Transportation","Australia",2021,76.24,68.95,62.74,103365.35,-6.5,-11.08,42.89,17.25,"5",51.268,"Past","High Risk"
"Software Engineer","Healthcare","Japan",2025,33.41,31.9,17.83,83985.61,-10.4,2.79,21.81,64.75,"3",21.833,"Future","Medium Risk"
"Financial Analyst","Finance","UK",2026,59.46,69.95,8.7,44143.38,0.47,-1.52,66.05,40.35,"3",26.535,"Future","Medium Risk"
"Accountant","Finance","India",2022,65.85,70.77,98.58,46547.4,-0.84,3.36,11.71,93.26,"1",56.166,"Past","Medium Risk"
"Financial Analyst","Transportation","Brazil",2021,31.28,31.93,31.81,59497.03,-4.55,-3.8,65.39,97.16,"3",23.42,"Past","Low Risk"
"Software Engineer","Education","UK",2021,39.07,39.58,3.53,130811.88,-12.63,6.47,50.65,99.5,"5",20.476,"Past","Medium Risk"
"HR Manager","Transportation","UK",2020,31.36,28.46,11.8,101657.08,1.59,2.54,92.73,93.19,"5",16.561,"Past","Low Risk"
"Customer Support Rep","Education","Australia",2025,32.55,33.31,9.71,98641.94,1.61,18.39,88.48,80.17,"4",16.416,"Future","Low Risk"
"Data Analyst","Technology","Germany",2025,19.36,20.37,0.74,77525.03,17.19,-5.56,75.88,77.32,"5",13.123,"Future","Low Risk"
"Marketing Specialist","Education","UK",2026,61.5,56.32,68.61,95881.14,1.93,3.91,36.11,43.8,"5",45.762,"Future","Medium Risk"
"Truck Driver","Technology","India",2021,38.07,32.56,20.87,96437.68,-2.39,10.76,39.11,56.41,"4",22.206,"Past","Medium Risk"
"Data Analyst","Healthcare","Canada",2021,24.97,29.07,37.78,88853.07,14.94,6.77,60.75,23.92,"4",25.804,"Past","Low Risk"
"Mechanical Engineer","Education","Brazil",2022,18.68,21.95,80.16,32755.83,3.44,17.23,56.7,1.22,"4",32.552,"Past","Low Risk"
"HR Manager","Healthcare","Germany",2026,64.66,56.85,72.8,31904.19,-7.83,-3.93,24.18,48.11,"1",50.053,"Future","Medium Risk"
"HR Manager","Finance","UK",2020,29.86,35.75,58,97977.34,-4.54,-8.87,21.16,76.25,"2",30.706,"Past","Low Risk"
"Truck Driver","Technology","Singapore",2020,48.18,53.04,37.17,148650.87,5.45,6.14,68.23,8.57,"3",32.058,"Past","Medium Risk"
"Marketing Specialist","Healthcare","Japan",2021,47.83,55.67,0.65,50029.47,0.97,-3.73,71.65,70.26,"5",19.618,"Past","Medium Risk"
"Truck Driver","Retail","USA",2021,80.54,94,36.16,35155.61,14.14,-6.34,29.21,81,"5",47.306,"Past","High Risk"
"Marketing Specialist","Technology","Japan",2025,25.38,20.41,50.81,117175.39,12.6,-2.61,49.46,17.17,"1",29.175,"Future","Low Risk"
"Teacher","Transportation","USA",2023,16.34,17.72,38.57,139532.85,-20.81,10.53,41.41,13.14,"2",24.35,"Present","Low Risk"
"Accountant","Healthcare","Canada",2024,51.57,53.26,80,54143.64,-5.52,2.13,36.58,42.81,"1",46.284,"Present","Medium Risk"
"Mechanical Engineer","Education","Canada",2026,77.48,82.23,78.29,69061.19,-4.36,-1.37,33.08,58.31,"2",55.787,"Future","High Risk"
"Software Engineer","Manufacturing","Canada",2020,23.9,27.32,98.85,71195.81,9.89,17.88,27.5,91.8,"2",42.182,"Past","Low Risk"
"Software Engineer","Finance","USA",2024,13.96,15.28,34.76,74049.79,11.03,3.65,22.62,5.46,"3",19.321,"Present","Low Risk"
"Teacher","Energy","Japan",2022,38.14,31.36,68.76,121239.01,4.39,11.38,92.47,74.83,"4",37.201,"Past","Medium Risk"
"HR Manager","Finance","Australia",2023,75.53,66.25,49.99,149271.67,7.53,8.61,12.74,87.18,"5",47.468,"Present","High Risk"
"Mechanical Engineer","Education","Canada",2023,58.84,51.09,2.57,61191.19,2.47,11.11,92.75,44.62,"2",25.048,"Present","Medium Risk"
"Customer Support Rep","Retail","Japan",2026,90.56,89.22,20.43,48167.22,6.02,1.68,58.06,63.24,"1",44.159,"Future","High Risk"
"Accountant","Retail","Japan",2023,74.57,74.95,83.83,68859.99,8.95,17.54,27.25,38.88,"1",57.662,"Present","High Risk"
"Data Analyst","Technology","Brazil",2020,21.9,18.35,58.48,149240.38,16.67,26.95,13.63,13.92,"1",31.305,"Past","Low Risk"
"Financial Analyst","Finance","USA",2021,45.93,54.84,87.66,70825.09,21.89,22.86,71.68,68.78,"1",51.237,"Past","Medium Risk"
"Teacher","Manufacturing","India",2023,65.29,52.88,94.37,38407.45,8.32,4.53,53.89,6.36,"4",56.923,"Present","Medium Risk"
"HR Manager","Finance","Japan",2021,26.05,26.87,8.79,80841.35,10.14,-0.5,19.91,68.28,"4",16.099,"Past","Low Risk"
"Financial Analyst","Technology","Brazil",2020,38.46,39.81,20.55,103164.44,-5.09,7.06,84.19,86.13,"5",23.076,"Past","Medium Risk"
"Data Analyst","Education","Japan",2020,5,5.21,59.4,31495.01,1.95,4.34,59.99,93.32,"2",20.405,"Past","Low Risk"
"Marketing Specialist","Technology","India",2022,57.3,46.49,7.77,116661.47,-10.52,6.54,65.27,81.03,"1",28.407,"Past","Medium Risk"
"Truck Driver","Finance","Germany",2024,77.71,69.82,25.82,146140.54,-3.35,12.15,84.16,16.17,"1",39.835,"Present","High Risk"
"Teacher","Energy","India",2021,23.78,20.75,8.77,132561.37,-15.66,10.12,86.38,80.26,"1",16.841,"Past","Low Risk"
"Truck Driver","Manufacturing","Australia",2020,32.07,33.92,72.18,115899.28,-7.88,10.32,38.36,84.42,"1",36.846,"Past","Low Risk"
"HR Manager","Education","Brazil",2022,72.89,66.45,2.3,133172.03,-15.1,-5.89,41.23,41.57,"4",34.376,"Past","High Risk"
"HR Manager","Manufacturing","Singapore",2021,36.48,37.45,7.89,146584.82,3.43,13.12,29.9,4.95,"1",17.988,"Past","Medium Risk"
"Customer Support Rep","Technology","USA",2024,31.95,29.7,50.39,149190.37,10.04,-21.29,72.56,18.07,"4",30.909,"Present","Low Risk"
"Accountant","Education","Brazil",2026,75.3,76.17,27.63,142213.08,-3.02,28.25,62.21,74.83,"5",39.315,"Future","High Risk"
"Mechanical Engineer","Energy","Singapore",2025,20.82,23.86,95.95,98039.96,8.27,9.19,43.73,99.28,"4",39.594,"Future","Low Risk"
"Marketing Specialist","Retail","Japan",2020,57.64,55.88,67.73,92601.6,1.87,2.54,60.79,79.58,"2",43.936,"Past","Medium Risk"
"Data Analyst","Technology","Australia",2021,10.84,11.01,76.66,148596.55,6.6,0.07,25.24,19.81,"2",29.314,"Past","Low Risk"
"Marketing Specialist","Transportation","UK",2026,17.71,20.24,10.83,46573.38,4.39,-10.35,89.22,41.82,"4",11.65,"Future","Low Risk"
"HR Manager","Transportation","Singapore",2023,48.24,41.8,26.59,46071.09,16.55,-11.5,35.56,84.6,"2",32.238,"Present","Medium Risk"
"Data Analyst","Education","India",2024,68.69,58.25,1.79,124773.23,-5.28,-6.12,45.48,91.66,"2",29.597,"Present","High Risk"
"Accountant","Energy","USA",2020,56.12,45.81,1.48,53948.17,-1.7,-15.01,85.41,31.48,"1",23.402,"Past","Medium Risk"
"HR Manager","Transportation","Singapore",2023,36.36,33.88,0.9,144624.18,-4.27,-2.26,21.64,49.05,"1",16.095,"Present","Medium Risk"
"HR Manager","Education","USA",2026,75.25,63.23,44.09,32684.98,6.49,17.45,72.97,47.23,"1",45.274,"Future","High Risk"
"Data Analyst","Technology","Japan",2024,63.53,61.24,51.41,113434.71,-13.74,5.91,38.54,9.23,"4",44.957,"Present","Medium Risk"
"Truck Driver","Finance","Canada",2020,55.28,57.7,11.85,105670.45,-3.08,12.45,29.98,89.3,"1",26.591,"Past","Medium Risk"
"HR Manager","Manufacturing","Brazil",2026,58.44,49.21,40.81,110890.75,19.12,16.99,61.04,79.81,"5",41.355,"Future","Medium Risk"
"Data Analyst","Retail","USA",2022,22.43,24.3,99.11,76795.06,-6.68,12.66,35.37,93.49,"2",40.709,"Past","Low Risk"
"Data Analyst","Education","UK",2020,5,4.43,48.29,78221.71,-11.74,9.94,16.35,36.93,"3",20.009,"Past","Low Risk"
"Marketing Specialist","Technology","Canada",2025,46.7,47.86,60.15,95839.44,8.02,-2.71,17.9,19.84,"5",39.131,"Future","Medium Risk"
"Truck Driver","Transportation","Brazil",2023,76.76,69.99,49.35,69263.73,-21.71,5.99,99.48,35.75,"2",52.022,"Present","High Risk"
"Data Analyst","Manufacturing","Japan",2024,43.89,50.71,63.79,97902.87,-1.44,33.08,82.68,5.04,"4",37.125,"Present","Medium Risk"
"Data Analyst","Transportation","Singapore",2024,61.96,64.1,84.89,31247.12,-6.11,21.19,71.3,62.82,"5",52.084,"Present","Medium Risk"
"HR Manager","Finance","Singapore",2023,21.44,21.56,27.72,97252.42,-3.36,6.91,56.42,61.76,"1",17.9,"Present","Low Risk"
"Accountant","Manufacturing","Japan",2022,30.68,36.23,52.03,51902.05,1.03,-4.69,43.77,19.25,"1",28.19,"Past","Low Risk"
"Truck Driver","Energy","Canada",2021,27.15,27.87,59.86,47016.31,5.39,6.21,98.05,88.85,"2",30.435,"Past","Low Risk"
"Accountant","Education","Singapore",2021,66.5,58.77,15.64,83393.71,10.36,8.54,30.88,47.96,"2",34.4,"Past","Medium Risk"
"Financial Analyst","Retail","India",2024,55.32,54.12,45.42,57014.06,-0.16,8.2,57.95,21.86,"4",35.802,"Present","Medium Risk"
"Software Engineer","Finance","Canada",2021,35.99,32.47,20.23,63086.67,8.35,2.64,13.66,4.32,"4",22.97,"Past","Medium Risk"
"Accountant","Technology","Germany",2023,72.01,61.26,0.22,51469.66,4.74,10.07,40.61,66.8,"1",30.292,"Present","High Risk"
"Financial Analyst","Energy","Brazil",2026,45.51,52.87,5.64,127581.5,-3.78,-6.49,27.28,70.26,"2",21.03,"Future","Medium Risk"
"Data Analyst","Finance","Singapore",2020,47.48,48.39,69.82,106747.77,-7.19,12.63,48.6,15.16,"2",42.095,"Past","Medium Risk"
"Software Engineer","Retail","India",2026,30.07,32.5,69.14,115131.23,10.75,-7.67,43.07,94.45,"5",35.995,"Future","Low Risk"
"Data Analyst","Manufacturing","Australia",2025,24.04,25.03,75.01,138768.89,-19.9,-3.85,48.7,32.37,"5",38.089,"Future","Low Risk"
"Marketing Specialist","Energy","UK",2020,55.77,65.43,12.61,97310.65,11.2,4.81,91.04,51.44,"1",29.451,"Past","Medium Risk"
"Truck Driver","Technology","Brazil",2024,26.75,22.53,58.67,44863.03,4.23,-0.46,77.56,84.28,"5",29.57,"Present","Low Risk"
"HR Manager","Technology","India",2024,17.4,15.3,83.3,116530.51,0.63,16.2,37.97,56.97,"4",32.139,"Present","Low Risk"
"HR Manager","Retail","Brazil",2021,54.7,51.1,77.09,41130.46,11.39,4.94,17.78,51.77,"2",48.424,"Past","Medium Risk"
"Data Analyst","Energy","Australia",2024,11.16,12.92,83.23,142070.07,3.7,10.87,26.64,30.25,"5",30.543,"Present","Low Risk"
"Customer Support Rep","Energy","Brazil",2022,59.78,61.91,78.22,57235.16,-0.51,-5.86,24.21,69.37,"4",47.531,"Past","Medium Risk"
"Software Engineer","Healthcare","USA",2026,40.29,44.18,6.34,145763.71,-2.77,6.09,17.5,7.67,"1",18.849,"Future","Medium Risk"
"HR Manager","Technology","Singapore",2023,50.71,58.74,55.54,102428.56,4.88,-4.37,95.41,36.23,"3",38.41,"Present","Medium Risk"
"Truck Driver","Finance","UK",2026,76.41,71.85,30.49,54216.49,-5.62,12.44,35.48,99.9,"2",41.397,"Future","High Risk"
"Teacher","Finance","Canada",2024,32.91,31.9,99.01,74316.04,10.88,0.56,38.07,23.38,"4",46.131,"Present","Low Risk"
"Data Analyst","Finance","UK",2024,29.62,32,4.32,74869.92,-12.33,-2.43,68.89,29,"4",16.843,"Present","Low Risk"
"Marketing Specialist","Retail","UK",2024,52.47,52.56,21.72,61987.93,15.34,15.58,24.94,61.54,"4",32.106,"Present","Medium Risk"
"Financial Analyst","Healthcare","Japan",2025,78.75,65.34,49.04,117964.59,-4.31,16.43,22.97,49.32,"4",47.505,"Future","High Risk"
"Marketing Specialist","Energy","USA",2022,15.01,15.14,1.94,117433.37,-30.09,-3.82,27.66,36.13,"1",15.613,"Past","Low Risk"
"Marketing Specialist","Education","Germany",2025,22.73,24.87,19.9,104010.4,9.09,-7.76,58.64,42.34,"1",17.789,"Future","Low Risk"
"HR Manager","Finance","Singapore",2020,57.11,55.18,82.14,117551.81,10.45,6.13,84.6,53.18,"3",50.621,"Past","Medium Risk"
"Teacher","Technology","Japan",2024,14.79,15.18,35.53,94813.55,13.2,18.4,70.62,67.93,"2",20.535,"Present","Low Risk"
"Accountant","Energy","Canada",2025,17.65,15.47,63.05,78980.69,-4.85,8.4,27.24,55.85,"5",27.43,"Future","Low Risk"
"Financial Analyst","Manufacturing","Australia",2025,45.05,40.84,40.83,34197.75,10.65,7.25,33.42,3.39,"4",33.464,"Future","Medium Risk"
"Mechanical Engineer","Finance","Japan",2024,59.6,68.08,13.82,76289.72,2.65,5.84,71.03,98.48,"4",28.781,"Present","Medium Risk"
"Accountant","Retail","USA",2024,40.41,46.84,20.51,44148.52,-9.19,19.47,38.59,67.13,"4",25.074,"Present","Medium Risk"
"HR Manager","Transportation","Singapore",2024,33.34,34.31,29.95,124050.91,3.6,-14.3,12.09,79.17,"2",23.401,"Present","Medium Risk"
"HR Manager","Transportation","USA",2022,53.42,46.85,21.54,61499.15,13.96,27.11,34.65,69.41,"4",32.018,"Past","Medium Risk"
"Financial Analyst","Retail","UK",2020,72.23,59.04,41.72,101222.41,-3.04,5.55,28.95,6.18,"4",42.32,"Past","High Risk"
"Software Engineer","Healthcare","Brazil",2022,39.83,42.14,15.97,69961.33,10.02,-0.33,27.52,54.83,"1",23.729,"Past","Medium Risk"
"Teacher","Healthcare","UK",2022,64.81,73.35,66.66,65943.33,5.55,12.4,73.4,6.73,"5",47.587,"Past","Medium Risk"
"Customer Support Rep","Transportation","Canada",2024,28.03,30.22,94.48,122846.87,1.71,17.56,37.41,67.77,"5",40.069,"Present","Low Risk"
"Accountant","Technology","Brazil",2024,59.84,64.04,94.67,74061.48,4.94,-3.5,88.59,31.01,"2",53.819,"Present","Medium Risk"
"HR Manager","Transportation","Brazil",2025,68.13,63.55,79.43,38379.58,13.05,16.44,54.23,68.71,"5",54.996,"Future","High Risk"
